step_time,reward,total_stopped,total_wait_time,terminal_observation
270.0,0.0,11,206.0,
275.0,-0.08000000000000007,8,214.0,
280.0,-0.11999999999999966,15,226.0,
285.0,-0.5700000000000003,15,283.0,
290.0,-0.16999999999999993,12,300.0,
295.0,0.18000000000000016,6,282.0,
300.0,0.21999999999999975,12,260.0,
305.0,-0.5899999999999999,22,319.0,
310.0,-0.31000000000000005,15,350.0,
315.0,-0.3599999999999999,12,386.0,
320.0,-0.6499999999999999,17,451.0,
325.0,-0.5800000000000001,18,509.0,
330.0,-0.009999999999999787,14,510.0,
335.0,0.2999999999999998,9,480.0,
340.0,0.3199999999999994,16,448.0,
345.0,-0.5399999999999991,19,502.0,
350.0,-0.28000000000000025,18,530.0,
355.0,-0.040000000000000036,10,534.0,
360.0,-0.2400000000000002,15,558.0,
365.0,-0.4299999999999997,16,601.0,
370.0,-0.07000000000000028,12,608.0,
375.0,0.020000000000000462,13,606.0,
380.0,-0.0600000000000005,13,612.0,
385.0,-0.3099999999999996,19,643.0,
390.0,-0.6800000000000006,20,711.0,
395.0,-0.2699999999999996,15,738.0,
400.0,2.7199999999999998,9,466.0,
405.0,1.85,14,281.0,
410.0,-0.16000000000000014,21,297.0,
415.0,0.03000000000000025,24,294.0,
420.0,-0.6200000000000001,22,356.0,
425.0,0.2400000000000002,18,332.0,
430.0,0.2799999999999998,11,304.0,
435.0,0.06999999999999984,5,297.0,
440.0,-0.11999999999999966,11,309.0,
445.0,-0.11000000000000032,12,320.0,
450.0,0.28000000000000025,15,292.0,
455.0,0.46999999999999975,8,245.0,
460.0,0.5000000000000002,13,195.0,
465.0,-0.2100000000000002,16,216.0,
470.0,0.17000000000000015,12,199.0,
475.0,0.08000000000000007,5,191.0,
480.0,0.0,10,191.0,
485.0,-0.44000000000000017,16,235.0,
490.0,-0.14000000000000012,11,249.0,
495.0,0.1200000000000001,7,237.0,
500.0,-0.1599999999999997,13,253.0,
505.0,-0.33000000000000007,13,286.0,
510.0,0.10999999999999988,10,275.0,
515.0,0.1299999999999999,6,262.0,
520.0,-0.41999999999999993,14,304.0,
525.0,-0.41999999999999993,17,346.0,
530.0,-0.020000000000000018,14,348.0,
535.0,0.020000000000000018,12,346.0,
540.0,-0.06999999999999984,8,353.0,
545.0,-0.26000000000000023,16,379.0,
550.0,-0.46999999999999975,14,426.0,
555.0,-0.0600000000000005,15,432.0,
560.0,-0.08999999999999986,10,441.0,
565.0,-0.2400000000000002,16,465.0,
570.0,-0.5,16,515.0,
575.0,-0.17999999999999972,13,533.0,
580.0,-0.13999999999999968,12,547.0,
585.0,0.08999999999999986,9,538.0,
590.0,-0.08000000000000007,16,546.0,
595.0,-0.71,17,617.0,
600.0,-0.3700000000000001,14,654.0,
605.0,2.5,11,404.0,
610.0,1.37,16,267.0,
615.0,-0.1200000000000001,18,279.0,
620.0,0.1299999999999999,21,266.0,
625.0,-0.46999999999999975,18,313.0,
630.0,0.3599999999999999,17,277.0,
635.0,0.22999999999999998,11,254.0,
640.0,0.28000000000000025,10,226.0,
645.0,0.20999999999999996,4,205.0,
650.0,0.07999999999999985,9,197.0,
655.0,-0.17999999999999994,13,215.0,
660.0,0.34999999999999987,7,180.0,
665.0,0.22999999999999998,11,157.0,
670.0,0.18000000000000016,14,139.0,
675.0,-0.42000000000000015,16,181.0,
680.0,-0.22999999999999998,12,204.0,
685.0,0.27,6,177.0,
690.0,0.22999999999999998,11,154.0,
695.0,-0.28,11,182.0,
700.0,-0.040000000000000036,10,186.0,
705.0,0.0,7,186.0,
710.0,-0.3899999999999999,13,225.0,
715.0,-0.43999999999999995,15,269.0,
720.0,-0.06999999999999984,10,276.0,
725.0,0.3799999999999999,3,238.0,
730.0,0.22999999999999998,9,215.0,
735.0,-0.30000000000000027,12,245.0,
740.0,-0.18999999999999995,11,264.0,
745.0,-0.33999999999999986,10,298.0,
750.0,-0.6499999999999999,18,363.0,
755.0,-0.5600000000000005,18,419.0,
760.0,-0.1999999999999993,15,439.0,
765.0,0.14999999999999947,6,424.0,
770.0,0.04999999999999982,11,419.0,
775.0,-0.3099999999999996,16,450.0,
780.0,-0.16999999999999993,14,467.0,
785.0,-0.11000000000000032,11,478.0,
790.0,2.0900000000000003,8,269.0,
795.0,0.45999999999999996,16,223.0,
