step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
250.0,-2.0100000000000016,42,2469.0,,
255.0,-2.099999999999998,42,2679.0,,
260.0,-2.1000000000000014,42,2889.0,,
265.0,-1.3900000000000006,40,3028.0,,
270.0,-2.1599999999999966,46,3244.0,,
275.0,-1.490000000000002,40,3393.0,,
280.0,-1.8200000000000003,42,3575.0,,
285.0,-2.1000000000000014,42,3785.0,,
290.0,-2.1199999999999974,43,3997.0,,
295.0,1.019999999999996,38,3895.0,,
300.0,4.410000000000004,28,3454.0,,
305.0,-1.3800000000000026,28,3592.0,,
310.0,-1.4099999999999966,27,3733.0,,
315.0,-1.0700000000000003,25,3840.0,,
320.0,-1.2899999999999991,32,3969.0,,
325.0,-1.8500000000000014,40,4154.0,,
330.0,-0.9100000000000037,41,4245.0,,
335.0,0.1700000000000017,38,4228.0,,
340.0,1.990000000000002,37,4029.0,,
345.0,5.0,32,3529.0,,
350.0,7.890000000000001,26,2740.0,,
355.0,0.759999999999998,14,2664.0,,
360.0,-0.35999999999999943,13,2700.0,,
365.0,2.129999999999999,16,2487.0,,
370.0,4.73,12,2014.0,,
375.0,0.5100000000000016,16,1963.0,,
380.0,-1.0199999999999996,23,2065.0,,
385.0,-1.1400000000000006,27,2179.0,,
390.0,-1.4000000000000021,34,2319.0,,
395.0,-1.9100000000000001,41,2510.0,,
400.0,-2.3599999999999994,50,2746.0,,
405.0,0.6900000000000013,48,2677.0,,
410.0,3.66,41,2311.0,,
415.0,2.8900000000000006,31,2022.0,,
420.0,1.8099999999999987,21,1841.0,,
425.0,2.1700000000000017,15,1624.0,,
430.0,3.1899999999999977,20,1305.0,,
435.0,-0.009999999999999787,24,1306.0,,
440.0,-1.3099999999999987,29,1437.0,,
445.0,-0.4800000000000004,30,1485.0,,
450.0,0.019999999999999574,30,1483.0,,
455.0,0.2699999999999996,31,1456.0,,
460.0,0.6300000000000008,27,1393.0,,
465.0,2.1799999999999997,23,1175.0,,
470.0,1.83,24,992.0,,
475.0,0.3800000000000008,26,954.0,,
480.0,0.4599999999999991,36,908.0,,
485.0,-1.1899999999999995,50,1027.0,,
490.0,-2.6799999999999997,54,1295.0,,
495.0,-1.4400000000000013,50,1439.0,,
500.0,0.120000000000001,41,1427.0,,
505.0,-0.7300000000000004,34,1500.0,,
510.0,-1.6700000000000017,31,1667.0,,
515.0,-0.259999999999998,29,1693.0,,
520.0,0.08999999999999986,30,1684.0,,
525.0,0.6799999999999997,26,1616.0,,
530.0,1.7400000000000002,23,1442.0,,
535.0,0.3699999999999992,24,1405.0,,
540.0,-1.5399999999999991,36,1559.0,,
545.0,-0.8500000000000014,41,1644.0,,
550.0,-0.5599999999999987,50,1700.0,,
555.0,-2.1099999999999994,54,1911.0,,
560.0,-2.6999999999999993,54,2181.0,,
565.0,-1.1799999999999997,50,2299.0,,
570.0,0.5799999999999983,40,2241.0,,
575.0,-1.1799999999999997,36,2359.0,,
580.0,-1.6999999999999993,33,2529.0,,
585.0,-1.6600000000000001,36,2695.0,,
590.0,-2.0,42,2895.0,,
595.0,-0.5199999999999996,45,2947.0,,
600.0,1.759999999999998,44,2771.0,,
605.0,-1.3999999999999986,42,2911.0,,
610.0,-2.0600000000000023,42,3117.0,,
615.0,-1.6000000000000014,39,3277.0,,
620.0,-1.8499999999999943,48,3462.0,,
625.0,-2.5600000000000023,53,3718.0,,
630.0,-2.950000000000003,64,4013.0,,
635.0,-0.4399999999999977,66,4057.0,,
640.0,2.5,56,3807.0,,
645.0,4.130000000000003,49,3394.0,,
650.0,-2.25,44,3619.0,,
655.0,-2.3400000000000034,49,3853.0,,
660.0,-1.9299999999999997,51,4046.0,,
665.0,-2.269999999999996,60,4273.0,,
670.0,-0.8000000000000043,59,4353.0,,
675.0,1.3700000000000045,49,4216.0,,
680.0,1.6899999999999977,37,4047.0,,
685.0,4.100000000000001,32,3637.0,,
690.0,0.46999999999999886,28,3590.0,,
695.0,-1.5,33,3740.0,,
700.0,-1.3900000000000006,36,3879.0,,
705.0,-1.980000000000004,43,4077.0,,
710.0,-2.3999999999999986,51,4317.0,,
715.0,-0.4200000000000017,53,4359.0,,
720.0,1.25,47,4234.0,,
725.0,1.25,39,4109.0,,
730.0,-1.3099999999999952,40,4240.0,,
