step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
1200.0,-0.4599999999999991,39,1410.0,,
1205.0,0.02999999999999936,36,1407.0,,
1210.0,1.0300000000000011,31,1304.0,,
1215.0,0.1999999999999993,19,1284.0,,
1220.0,1.1199999999999992,17,1172.0,,
1225.0,-0.009999999999999787,23,1173.0,,
1230.0,0.9199999999999999,21,1081.0,,
1235.0,0.8399999999999999,20,997.0,,
1240.0,1.0099999999999998,23,896.0,,
1245.0,0.0600000000000005,21,890.0,,
1250.0,1.04,19,786.0,,
1255.0,-0.04999999999999982,23,791.0,,
1260.0,-0.04999999999999982,31,796.0,,
1265.0,-0.7299999999999995,35,869.0,,
1270.0,0.3099999999999987,35,838.0,,
1275.0,-0.08000000000000007,34,846.0,,
1280.0,-0.14999999999999858,25,861.0,,
1285.0,1.0599999999999996,16,755.0,,
1290.0,-0.4899999999999993,20,804.0,,
1295.0,0.03999999999999915,22,800.0,,
1300.0,-0.15000000000000036,21,815.0,,
1305.0,-0.3100000000000005,21,846.0,,
1310.0,-0.5299999999999994,27,899.0,,
1315.0,0.0600000000000005,23,893.0,,
1320.0,0.6999999999999993,20,823.0,,
1325.0,1.0300000000000002,21,720.0,,
1330.0,1.0700000000000003,29,613.0,,
1335.0,-1.1000000000000005,34,723.0,,
1340.0,-0.9699999999999989,34,820.0,,
1345.0,-1.0,35,920.0,,
1350.0,-0.8500000000000014,29,1005.0,,
1355.0,-0.1899999999999995,20,1024.0,,
1360.0,0.5299999999999994,19,971.0,,
1365.0,0.46000000000000085,20,925.0,,
1370.0,0.39000000000000057,27,886.0,,
1375.0,-0.8000000000000007,32,966.0,,
1380.0,-0.5299999999999994,36,1019.0,,
1385.0,-0.370000000000001,36,1056.0,,
1390.0,-0.5299999999999994,28,1109.0,,
1395.0,-0.4499999999999993,24,1154.0,,
1400.0,0.0799999999999983,18,1146.0,,
1405.0,0.75,19,1071.0,,
1410.0,-0.47999999999999865,21,1119.0,,
1415.0,-0.46000000000000085,24,1165.0,,
1420.0,-0.049999999999998934,24,1170.0,,
1425.0,0.33999999999999986,25,1136.0,,
1430.0,-0.9600000000000009,31,1232.0,,
1435.0,-0.4800000000000004,25,1280.0,,
1440.0,-0.41999999999999993,25,1322.0,,
1445.0,-0.8399999999999999,24,1406.0,,
1450.0,0.3000000000000007,18,1376.0,,
1455.0,1.5099999999999998,22,1225.0,,
1460.0,-0.4399999999999995,23,1269.0,,
1465.0,-0.5999999999999996,33,1329.0,,
1470.0,-1.5,38,1479.0,,
1475.0,-0.9300000000000015,36,1572.0,,
1480.0,-1.040000000000001,35,1676.0,,
1485.0,-1.0899999999999999,28,1785.0,,
